time,tavg,tmin,tmax,prcp,snow,wspd,wpgt,pres,tsun,wdir
2015-01-01,3.9,2.3,6.0,0.0,0.0,16.9,36.4,1031.3,288.0,253.0
2015-01-02,5.4,3.0,8.2,1.2,0.0,24.8,59.8,1019.3,24.0,237.0
2015-01-03,4.8,3.4,5.9,0.3,0.0,26.6,64.8,1017.6,0.0,258.0
2015-01-04,3.6,1.6,5.0,0.8,0.0,28.1,61.9,1022.2,102.0,295.0
2015-01-05,3.4,2.1,4.0,2.5,0.0,20.5,50.0,1027.3,0.0,295.0
2015-01-06,1.0,-0.6,3.5,0.0,0.0,13.0,41.0,1027.3,0.0,131.0
2015-01-07,2.2,-0.8,5.8,0.4,0.0,11.9,30.6,1025.0,18.0,216.0
2015-01-08,3.6,0.7,6.9,9.6,0.0,17.3,63.0,1020.3,0.0,212.0
2015-01-09,6.4,5.1,9.4,14.9,0.0,29.5,85.0,1011.4,0.0,259.0
2015-01-10,8.8,5.1,12.9,3.0,0.0,28.1,100.4,1002.2,0.0,257.0
2015-01-11,3.7,1.9,5.1,7.2,0.0,30.2,64.1,1007.7,12.0,264.0
2015-01-12,5.8,3.7,7.7,3.1,0.0,22.7,50.0,1012.6,0.0,238.0
2015-01-13,10.0,7.7,12.4,3.1,0.0,22.3,51.8,1007.3,210.0,217.0
2015-01-14,6.3,3.8,8.0,0.3,0.0,16.9,56.9,1008.3,138.0,228.0
2015-01-15,5.1,0.8,10.0,2.4,0.0,16.9,41.4,1008.0,0.0,188.0
2015-01-16,7.9,5.3,10.0,4.6,0.0,11.9,32.8,1006.9,42.0,201.0
2015-01-17,3.7,-1.1,5.5,0.0,0.0,9.4,32.8,1012.8,42.0,253.0
2015-01-18,0.4,-2.3,4.0,0.0,0.0,7.6,27.0,1017.3,360.0,176.0
2015-01-19,-0.4,-3.7,1.4,0.0,0.0,9.4,23.0,1015.2,0.0,125.0
2015-01-20,1.0,0.6,1.9,1.9,0.0,8.6,20.5,1012.4,0.0,134.0
2015-01-21,0.8,-1.3,1.6,0.1,0.0,10.1,20.9,1016.5,0.0,329.0
2015-01-22,-0.3,-2.1,0.7,0.1,0.0,15.8,32.4,1019.6,0.0,51.0
2015-01-23,0.3,-0.3,1.3,0.0,0.0,11.9,27.7,1024.8,0.0,16.0
2015-01-24,-0.1,-1.3,1.0,0.0,0.0,10.4,26.6,1021.1,0.0,195.0
2015-01-25,1.2,0.5,1.7,0.0,0.0,14.4,30.2,1024.9,0.0,287.0
2015-01-26,2.4,0.8,4.7,5.3,0.0,13.0,34.6,1019.8,0.0,194.0
2015-01-27,3.5,0.4,4.6,0.4,0.0,21.2,44.6,1013.6,0.0,288.0
2015-01-28,3.3,0.5,5.6,5.3,0.0,18.4,51.8,1007.2,18.0,223.0
2015-01-29,2.3,0.3,4.0,4.5,0.0,18.7,50.8,988.1,180.0,207.0
2015-01-30,1.0,0.2,2.1,5.0,30.0,13.0,35.3,974.7,0.0,183.0
2015-01-31,0.5,-0.5,1.2,1.7,60.0,15.8,73.8,980.2,66.0,256.0
2015-02-01,1.1,-0.8,3.7,0.3,50.0,12.2,29.2,989.2,216.0,232.0
2015-02-02,1.1,-0.5,2.7,0.7,40.0,14.0,35.3,995.4,36.0,241.0
2015-02-03,0.2,-1.5,1.5,0.8,40.0,12.2,31.0,1000.9,0.0,281.0
2015-02-04,-0.9,-2.0,0.0,0.3,80.0,12.6,28.1,1012.3,0.0,299.0
2015-02-05,-1.2,-3.3,1.4,0.0,70.0,10.4,26.6,1024.6,366.0,58.0
2015-02-06,-3.4,-5.0,-2.0,0.0,60.0,11.5,27.4,1031.5,12.0,72.0
2015-02-07,-0.9,-5.6,3.7,0.0,50.0,17.6,50.4,1025.0,0.0,264.0
2015-02-08,1.8,-0.3,3.7,1.5,30.0,28.8,61.9,1020.2,384.0,318.0
2015-02-09,4.2,0.2,5.8,0.3,20.0,20.9,48.6,1019.8,0.0,285.0
2015-02-10,5.3,4.9,5.9,0.0,0.0,15.8,33.8,1026.6,0.0,292.0
2015-02-11,5.1,3.2,5.9,0.0,0.0,8.6,23.4,1028.1,0.0,279.0
2015-02-12,1.1,-2.7,4.1,0.0,0.0,7.6,22.7,1024.4,162.0,155.0
2015-02-13,1.2,-2.8,6.6,0.0,0.0,9.4,22.0,1020.0,288.0,178.0
2015-02-14,1.1,-2.9,6.7,0.0,0.0,9.4,22.3,1015.3,516.0,119.0
2015-02-15,2.4,-2.0,8.0,0.0,0.0,16.2,34.9,1019.6,492.0,80.0
2015-02-16,0.5,-1.6,2.6,0.0,0.0,21.2,44.3,1025.7,54.0,108.0
2015-02-17,1.3,-2.7,6.6,0.0,0.0,12.2,28.1,1031.7,486.0,160.0
2015-02-18,3.5,1.2,8.1,0.0,0.0,11.9,25.2,1038.6,354.0,255.0
2015-02-19,2.8,-0.4,7.7,0.0,0.0,10.8,26.6,1028.3,486.0,208.0
2015-02-20,3.5,-2.7,10.1,0.0,0.0,12.6,40.7,1014.1,312.0,196.0
2015-02-21,5.9,1.6,11.3,0.0,0.0,15.8,49.0,999.4,282.0,201.0
2015-02-22,2.1,-0.7,5.0,0.0,0.0,9.0,25.9,1008.9,0.0,229.0
2015-02-23,2.0,-1.1,5.3,2.5,0.0,14.4,46.4,1001.1,6.0,180.0
2015-02-24,4.0,0.5,7.7,0.0,0.0,11.9,36.4,1006.4,324.0,204.0
2015-02-25,3.2,-1.2,8.3,0.0,0.0,6.5,26.6,1018.3,234.0,207.0
2015-02-26,3.2,-2.9,9.6,0.0,0.0,7.6,25.9,1021.2,570.0,148.0
2015-02-27,4.3,-1.3,10.8,0.3,0.0,9.0,23.8,1014.0,570.0,164.0
2015-02-28,4.1,0.1,7.5,0.0,0.0,14.0,33.8,1018.5,420.0,262.0
2015-03-01,3.8,-0.3,7.9,5.2,0.0,14.8,48.6,1005.6,42.0,187.0
