name,date,latitude,longitude,counts,year,distance_to_center_km,maxspeed_near_station,shops_within_0km,shops_within_1km,shops_within_2km,shops_within_5km,hotels_within_0km,hotels_within_1km,hotels_within_2km,hotels_within_5km,education_within_0km,education_within_1km,education_within_2km,education_within_5km,hospitals_within_0km,hospitals_within_1km,hospitals_within_2km,hospitals_within_5km,tavg,tmin,tmax,prcp,snow,wspd,pres,wdir,public_holiday,avg_motor_volume,total_motor_volume,city_avg_motor_volume,city_total_motor_volume,day_of_week,is_weekend,month,bicycle_lane_type_lane,bicycle_lane_type_none,bicycle_lane_type_track,bicycle_lane_type_unknown,Tree Canopy,Grass/Shrubs,Roads,Other Impervious,Buildings,Railroads,Bare Soil,Water
111th St at 50th Ave,2022-05-09,40.74563,-73.8525,120,2022,11.15303947536062,25.0,8,16,175,1130,0,2,4,15,0,0,1,55,0,0,26,149,14.8,9.4,21.1,0.0,0.0,23.2,1023.3,39.0,0,17832.0,17832.0,15862.333333333334,47587.0,0,0,5,0,0,0,1,26.826757060715025,6.629864884129826,37.93698816746131,28.606389887693844,0.0,0.0,0.0,0.0
111th St at 50th Ave,2022-05-10,40.74563,-73.8525,165,2022,11.15303947536062,25.0,8,16,175,1130,0,2,4,15,0,0,1,55,0,0,26,149,16.3,12.2,21.7,0.5,0.0,22.3,1026.7,40.0,0,17832.0,17832.0,16087.666666666666,48263.0,1,0,5,0,0,0,1,26.826757060715025,6.629864884129826,37.93698816746131,28.606389887693844,0.0,0.0,0.0,0.0
111th St at 50th Ave,2022-05-11,40.74563,-73.8525,197,2022,11.15303947536062,25.0,8,16,175,1130,0,2,4,15,0,0,1,55,0,0,26,149,16.5,13.3,22.8,0.0,0.0,14.7,1025.0,46.0,0,17832.0,17832.0,14132.5,56530.0,2,0,5,0,0,0,1,26.826757060715025,6.629864884129826,37.93698816746131,28.606389887693844,0.0,0.0,0.0,0.0
111th St at 50th Ave,2022-05-12,40.74563,-73.8525,206,2022,11.15303947536062,25.0,8,16,175,1130,0,2,4,15,0,0,1,55,0,0,26,149,17.0,13.3,21.1,0.0,0.0,11.6,1025.9,20.0,0,17849.0,17849.0,16374.0,65496.0,3,0,5,0,0,0,1,26.826757060715025,6.629864884129826,37.93698816746131,28.606389887693844,0.0,0.0,0.0,0.0
111th St at 50th Ave,2022-05-13,40.74563,-73.8525,178,2022,11.15303947536062,25.0,8,16,175,1130,0,2,4,15,0,0,1,55,0,0,26,149,16.8,14.0,21.1,2.5,0.0,11.6,1024.6,41.0,0,19228.0,19228.0,16660.5,66642.0,4,0,5,0,0,0,1,26.826757060715025,6.629864884129826,37.93698816746131,28.606389887693844,0.0,0.0,0.0,0.0
111th St at 50th Ave,2022-05-14,40.74563,-73.8525,204,2022,11.15303947536062,25.0,8,16,175,1130,0,2,4,15,0,0,1,55,0,0,26,149,16.8,13.9,20.6,7.0,0.0,5.7,1018.8,297.0,0,18777.0,18777.0,14945.0,59780.0,5,1,5,0,0,0,1,26.826757060715025,6.629864884129826,37.93698816746131,28.606389887693844,0.0,0.0,0.0,0.0
111th St at 50th Ave,2022-05-15,40.74563,-73.8525,440,2022,11.15303947536062,25.0,8,16,175,1130,0,2,4,15,0,0,1,55,0,0,26,149,18.5,14.0,25.6,0.2,0.0,4.7,1012.1,324.0,0,17815.0,17815.0,12815.75,51263.0,6,1,5,0,0,0,1,26.826757060715025,6.629864884129826,37.93698816746131,28.606389887693844,0.0,0.0,0.0,0.0
111th St at 50th Ave,2022-05-16,40.74563,-73.8525,141,2022,11.15303947536062,25.0,8,16,175,1130,0,2,4,15,0,0,1,55,0,0,26,149,19.9,17.2,24.0,2.0,0.0,8.0,1005.4,249.0,0,18390.0,18390.0,15876.75,63507.0,0,0,5,0,0,0,1,26.826757060715025,6.629864884129826,37.93698816746131,28.606389887693844,0.0,0.0,0.0,0.0
111th St at 50th Ave,2022-05-17,40.74563,-73.8525,232,2022,11.15303947536062,25.0,8,16,175,1130,0,2,4,15,0,0,1,55,0,0,26,149,19.4,14.4,25.0,0.0,0.0,9.5,1008.3,274.0,0,19171.0,19171.0,16617.0,66468.0,1,0,5,0,0,0,1,26.826757060715025,6.629864884129826,37.93698816746131,28.606389887693844,0.0,0.0,0.0,0.0
111th St at 50th Ave,2022-05-18,40.74563,-73.8525,203,2022,11.15303947536062,25.0,8,16,175,1130,0,2,4,15,0,0,1,55,0,0,26,149,17.9,13.9,22.8,0.0,0.0,7.3,1013.9,289.0,0,17618.0,17618.0,16393.0,65572.0,2,0,5,0,0,0,1,26.826757060715025,6.629864884129826,37.93698816746131,28.606389887693844,0.0,0.0,0.0,0.0
